routeName,poolName,poolType,itemCount,quarantinedCount,reviewOnlyCount,inactiveEvidenceCount,productionCount,normalAutoGradedFalseCount,knownProblemRowCount,passFail,notes
Imported module b1_m13,mixed,normal_auto_graded,21,0,0,0,0,0,0,PASS,
Imported module b1_m13,mixed final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Imported module b1_m13,repair,normal_auto_graded,16,0,0,0,0,0,0,PASS,
Imported module b1_m13,repair final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Imported module b1_m13,transformation,normal_auto_graded,0,0,0,0,0,0,0,PASS,
Imported module b1_m13,transformation final queue,normal_auto_graded,0,0,0,0,0,0,0,PASS,
Imported module b1_m13,production,production_only,9,0,0,0,9,9,0,PASS,
Imported module b1_m13,production final queue,production_only,9,0,0,0,9,9,0,PASS,
Imported module b1_m14,mixed,normal_auto_graded,51,0,0,0,0,0,0,PASS,
Imported module b1_m14,mixed final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Imported module b1_m14,repair,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Imported module b1_m14,repair final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Imported module b1_m14,transformation,normal_auto_graded,0,0,0,0,0,0,0,PASS,
Imported module b1_m14,transformation final queue,normal_auto_graded,0,0,0,0,0,0,0,PASS,
Imported module b1_m14,production,production_only,15,0,0,0,15,15,0,PASS,
Imported module b1_m14,production final queue,production_only,12,0,0,0,12,12,0,PASS,
Imported module b1_m15,mixed,normal_auto_graded,19,0,0,0,0,0,0,PASS,
Imported module b1_m15,mixed final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Imported module b1_m15,repair,normal_auto_graded,0,0,0,0,0,0,0,PASS,
Imported module b1_m15,repair final queue,normal_auto_graded,0,0,0,0,0,0,0,PASS,
Imported module b1_m15,transformation,normal_auto_graded,0,0,0,0,0,0,0,PASS,
Imported module b1_m15,transformation final queue,normal_auto_graded,0,0,0,0,0,0,0,PASS,
Imported module b1_m15,production,production_only,0,0,0,0,0,0,0,PASS,
Imported module b1_m15,production final queue,production_only,0,0,0,0,0,0,0,PASS,
Imported module b1_m16,mixed,normal_auto_graded,10,0,0,0,0,0,0,PASS,
Imported module b1_m16,mixed final queue,normal_auto_graded,10,0,0,0,0,0,0,PASS,
Imported module b1_m16,repair,normal_auto_graded,3,0,0,0,0,0,0,PASS,
Imported module b1_m16,repair final queue,normal_auto_graded,3,0,0,0,0,0,0,PASS,
Imported module b1_m16,transformation,normal_auto_graded,0,0,0,0,0,0,0,PASS,
Imported module b1_m16,transformation final queue,normal_auto_graded,0,0,0,0,0,0,0,PASS,
Imported module b1_m16,production,production_only,6,0,0,0,6,6,0,PASS,
Imported module b1_m16,production final queue,production_only,6,0,0,0,6,6,0,PASS,
Imported module b1_m17,mixed,normal_auto_graded,37,0,0,0,0,0,0,PASS,
Imported module b1_m17,mixed final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Imported module b1_m17,repair,normal_auto_graded,11,0,0,0,0,0,0,PASS,
