itemId,sourceFile,contentBankKey,routeKey,moduleKey,categoryId,taskType,answerMode,responseSurface,status,reviewOnly,normalPracticeEligible,normalAutoGradedPracticeEligible,activeB1Evidence,v02ApplyGateStatus,productionFlag,quarantineFlag,sourceRowId,targetFamily,reviewGroup,targetId,variantFamilyId,supportPolicy,evidenceType,sourceCleanupBatch,feedbackCleanupBatch,missingMetadataFields,metadataRiskLevel,recommendedManifestAction
b1_connector_068,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_time_wenn,time_als,connectors_time_wenn_contrast_68,time_als,hidden,auto_core,,,,low,MANIFEST_SAFE
b1_connector_069,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_time_wenn,time_als,connectors_time_wenn_contrast_69,time_als,hidden,auto_core,,,,low,MANIFEST_SAFE
b1_connector_070,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_time_wenn,time_als,connectors_time_wenn_contrast_70,time_als,hidden,auto_core,,,,low,MANIFEST_SAFE
b1_connector_071,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_time_wenn,time_als,connectors_time_wenn_contrast_71,time_als,hidden,auto_core,,,,low,MANIFEST_SAFE
b1_connector_072,content/b1-connectors.js,connectors,connectors,connectors,,word_order_cloze,,,active,,,,true,,false,false,,connectors_time_wenn,time_als,connectors_time_wenn_contrast_72,time_als,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_073,content/b1-connectors.js,connectors,connectors,connectors,,word_order_cloze,,,active,,,,true,,false,false,,connectors_time_wenn,time_als,connectors_time_wenn_contrast_73,time_als,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_074,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,review,,,,true,,false,false,,connectors_time_während,time_waehrend,connectors_time_während_sibling_74,time_waehrend,hidden,auto_core,,,,low,MANIFEST_SAFE
b1_connector_075,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_time_während,time_waehrend,connectors_time_während_sibling_75,time_waehrend,hidden,auto_core,,,,low,MANIFEST_SAFE
b1_connector_076,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_time_während,time_waehrend,connectors_time_während_sibling_76,time_waehrend,hidden,auto_core,,,,low,MANIFEST_SAFE
b1_connector_077,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_time_als,time_waehrend,connectors_time_als_sibling_77,time_waehrend,hidden,auto_core,,,,low,MANIFEST_SAFE
b1_connector_078,content/b1-connectors.js,connectors,connectors,connectors,,word_order_cloze,,,active,,,,true,,false,false,,connectors_time_während,time_waehrend,connectors_time_während_sibling_78,time_waehrend,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_079,content/b1-connectors.js,connectors,connectors,connectors,,word_order_cloze,,,active,,,,true,,false,false,,connectors_time_während,time_waehrend,connectors_time_während_sibling_79,time_waehrend,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_080,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_time_bevor,time_bevor,connectors_time_bevor_sibling_80,time_bevor,hidden,auto_core,,,,low,MANIFEST_SAFE
b1_connector_081,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_time_bevor,time_bevor,connectors_time_bevor_sibling_81,time_bevor,hidden,auto_core,,,,low,MANIFEST_SAFE
b1_connector_082,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_time_bevor,time_bevor,connectors_time_bevor_sibling_82,time_bevor,hidden,auto_core,,,,low,MANIFEST_SAFE
b1_connector_083,content/b1-connectors.js,connectors,connectors,connectors,,word_order_cloze,,,active,,,,true,,false,false,,connectors_time_bevor,time_bevor,connectors_time_bevor_sibling_83,time_bevor,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_084,content/b1-connectors.js,connectors,connectors,connectors,,word_order_cloze,,,active,,,,true,,false,false,,connectors_time_bevor,time_bevor,connectors_time_bevor_sibling_84,time_bevor,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_085,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_time_bevor,time_nachdem,connectors_time_bevor_sibling_85,time_nachdem,hidden,auto_core,,,,low,MANIFEST_SAFE
b1_connector_086,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_time_bevor,time_nachdem,connectors_time_bevor_sibling_86,time_nachdem,hidden,auto_core,,,,low,MANIFEST_SAFE
b1_connector_087,content/b1-connectors.js,connectors,connectors,connectors,,connector_choice,,,active,,,,true,,false,false,,connectors_time_bevor,time_nachdem,connectors_time_bevor_sibling_87,time_nachdem,hidden,auto_core,,,,low,MANIFEST_SAFE
b1_connector_088,content/b1-connectors.js,connectors,connectors,connectors,,word_order_cloze,,,active,,,,true,,false,false,,connectors_time_bevor,time_nachdem,connectors_time_bevor_sibling_88,time_nachdem,after_answer,,,,,low,MANIFEST_SAFE
b1_connector_089,content/b1-connectors.js,connectors,connectors,connectors,,word_order_cloze,,,active,,,,true,,false,false,,connectors_time_bevor,time_nachdem,connectors_time_bevor_sibling_89,time_nachdem,after_answer,,,,,low,MANIFEST_SAFE
